species,latitude,longitude
Prophylactis gracilipax,-34.80867 ,116.90200 
Prophylactis gracilipax,-34.78167 ,116.07333 
Prophylactis gracilipax,-34.46533 ,116.22667 
Prophylactis gracilipax,-34.33317 ,116.14383 
Prophylactis gracilipax,-34.97050 ,116.75267 
Prophylactis gracilipax,-34.78098 ,116.07643 
Prophylactis gracilipax,-34.85923 ,117.32153 
Boronia gracilipes,-33.95000003,115.066667
Boronia gracilipes,-33.90772603,115.083186
Boronia gracilipes,-33.95000003,115.083333
Boronia gracilipes,-33.916667,115.083333
Boronia gracilipes,-33.76666703,115.083333
Boronia gracilipes,-33.766667,115.083333
Boronia gracilipes,-33.73222203,115.102944
Boronia gracilipes,-33.73333303,115.116667
Boronia gracilipes,-34.01944403,115.161111
Boronia gracilipes,-34.04444403,115.169444
Boronia gracilipes,-33.65,115.25
Boronia gracilipes,-33.94083303,115.336667
Boronia gracilipes,-33.8,115.6167
Boronia gracilipes,-33.97972203,115.758333
Boronia gracilipes,-34.17777803,115.793056
Boronia gracilipes,-34.17777803,115.793056
Boronia gracilipes,-34.14047203,115.836798
Boronia gracilipes,-34.55000003,115.95
Boronia gracilipes,-34.55,115.95
Boronia gracilipes,-34.11138903,115.951667
Boronia gracilipes,-34.50000003,116
Boronia gracilipes,-34.5,116
Boronia gracilipes,-34.5,116
Boronia gracilipes,-33.95,116.0167
Boronia gracilipes,-33.95,116.0167
Boronia gracilipes,-34.56166703,116.026667
Boronia gracilipes,-34.54611103,116.026667
Boronia gracilipes,-34.44500003,116.026667
Boronia gracilipes,-34.44500003,116.026667
Boronia gracilipes,-34.74166703,116.063889
Boronia gracilipes,-34.54066703,116.066667
Boronia gracilipes,-34.78367,116.072
Boronia gracilipes,-34.8031,116.0731
Boronia gracilipes,-34.8031,116.0731
Boronia gracilipes,-34.7908,116.0744
Boronia gracilipes,-34.78050903,116.07604
Boronia gracilipes,-34.7667,116.0833
Boronia gracilipes,-34.76666703,116.083333
Boronia gracilipes,-34.76666703,116.083333
Boronia gracilipes,-34.76666703,116.083333
Boronia gracilipes,-34.75000003,116.083333
Boronia gracilipes,-34.766667,116.083333
Boronia gracilipes,-34.76558516,116.084558
Boronia gracilipes,-34.763207,116.084705
Boronia gracilipes,-34.763212,116.084942
Boronia gracilipes,-34.763288,116.086723
Boronia gracilipes,-34.59000003,116.086944
Boronia gracilipes,-34.760497,116.088418
Boronia gracilipes,-34.71214203,116.095419
Boronia gracilipes,-34.70047503,116.10653
Boronia gracilipes,-34.70047503,116.10653
Boronia gracilipes,-34.64305603,116.116389
Boronia gracilipes,-34.73000003,116.116667
Boronia gracilipes,-34.63333303,116.116667
Boronia gracilipes,-34.6333,116.1167
Boronia gracilipes,-34.6383,116.126492
Boronia gracilipes,-34.303642,116.126982
Boronia gracilipes,-34.630192,116.128958
Boronia gracilipes,-34.24305603,116.144722
Boronia gracilipes,-34.60113766,116.1459448
Boronia gracilipes,-34.55744503,116.185916
Boronia gracilipes,-34.59166703,116.198611
Boronia gracilipes,-34.66666703,116.2
Boronia gracilipes,-34.666667,116.2
Boronia gracilipes,-34.65000003,116.2
Boronia gracilipes,-34.43,116.2
Boronia gracilipes,-34.47880403,116.250414
Boronia gracilipes,-34.81554,116.253808
Boronia gracilipes,-34.85000003,116.283333
Boronia gracilipes,-34.66143603,116.328549
Boronia gracilipes,-34.585806,116.329139
Boronia gracilipes,-34.7,116.3667
Boronia gracilipes,-34.7,116.3667
Boronia gracilipes,-34.7,116.3667
Boronia gracilipes,-34.63333303,116.383333
Boronia gracilipes,-34.633333,116.383333
Boronia gracilipes,-34.633333,116.383333
Boronia gracilipes,-34.6322469,116.3845559
Boronia gracilipes,-34.87613869,116.3945591
Boronia gracilipes,-34.6,116.4
Boronia gracilipes,-34.5833,116.4
Boronia gracilipes,-34.59391325,116.4067783
Boronia gracilipes,-34.97666703,116.438056
Boronia gracilipes,-34.60946914,116.4395555
Boronia gracilipes,-34.60946914,116.4395555
Boronia gracilipes,-34.591475,116.442303
Boronia gracilipes,-34.58979403,116.445977
Boronia gracilipes,-34.71908203,116.447085
Boronia gracilipes,-34.62,116.45
Boronia gracilipes,-34.63213603,116.468194
Boronia gracilipes,-34.61805603,116.478889
Boronia gracilipes,-34.90145703,116.483919
Boronia gracilipes,-34.90063903,116.486
Boronia gracilipes,-34.73686003,116.492641
Boronia gracilipes,-34.653573,116.496712
Boronia gracilipes,-34.82,116.5125
Boronia gracilipes,-34.749141,116.51352
Boronia gracilipes,-34.68500003,116.515
Boronia gracilipes,-34.685,116.515
Boronia gracilipes,-34.77,116.52
Boronia gracilipes,-34.77,116.52
Boronia gracilipes,-34.80491603,116.529586
Boronia gracilipes,-34.82269303,116.531531
Boronia gracilipes,-34.9,116.566667
Boronia gracilipes,-34.818152,116.593423
Boronia gracilipes,-34.8175,116.594166
Boronia gracilipes,-34.586822,116.596027
Boronia gracilipes,-34.68333303,116.633333
Boronia gracilipes,-35.03333303,116.65
Boronia gracilipes,-35.03500003,116.661667
Boronia gracilipes,-35.03500003,116.661667
Boronia gracilipes,-34.98333303,116.666667
Boronia gracilipes,-34.98333303,116.666667
Boronia gracilipes,-35.016667,116.666667
Boronia gracilipes,-35.02250003,116.6725
Boronia gracilipes,-34.9833,116.6833
Boronia gracilipes,-34.76015703,116.686465
Boronia gracilipes,-34.84978803,116.687185
Boronia gracilipes,-34.97666703,116.694167
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.722053,116.699347
Boronia gracilipes,-34.9667,116.7
Boronia gracilipes,-34.97835914,116.700116
Boronia gracilipes,-34.72638903,116.703056
Boronia gracilipes,-34.82304,116.708206
Boronia gracilipes,-34.87947203,116.713889
Boronia gracilipes,-34.736328,116.716675
Boronia gracilipes,-34.9667,116.7167
Boronia gracilipes,-34.735722,116.716979
Boronia gracilipes,-34.735783,116.717012
Boronia gracilipes,-34.7361,116.717362
Boronia gracilipes,-34.736195,116.717987
Boronia gracilipes,-34.62,116.72
